EPCI,LIBEPCI,NATURE_EPCI,NB_COM
200039204,CC de Lacq-Orthez,CC,61
200039519,CC du Quercy Blanc,CC,10
200039642,CC Le Tonnerrois en Bourgogne,CC,52
200039709,CC du Serein,CC,35
200039758,"CC Avallon, Vézelay, Morvan",CC,48
200039808,CC des Gorges de l'Ardèche,CC,20
200039824,CC Ardèche des Sources et Volcans,CC,16
200039832,CC Pays des Vans en Cévennes,CC,15
200039857,CA du Pays de Grasse,CA,23
200039865,Metz Métropole,ME,46
200039907,CC du Sud Messin,CC,34
200039915,CA Cannes Pays de Lérins,CA,5
200039931,CC Alpes d'Azur,CC,34
200039949,CC Rives de Moselle,CC,20
200040038,CC Saône Doubs Bresse,CC,27
200040095,CC Isle Vern Salembre en Périgord,CC,16
200040111,CC Cœur de Chartreuse,CC,17
200040137,CC des Lacs de Champagne,CC,43
200040178,CC de l'Outre-Forêt,CC,13
200040202,CC Provence Verdon,CC,15
200040210,CC Lacs et Gorges du Verdon,CC,16
200040244,CA du Bocage Bressuirais,CA,33
200040251,CC Bassée-Montois,CC,42
200040277,CA Agglo du Pays de Dreux,CA,81
200040293,CC du Clunisois,CC,41
200040350,CC Bugey Sud,CC,42
200040384,CC Isle Double Landais,CC,9
200040392,CA Le Grand Périgueux,CA,43
200040400,CC du Périgord Ribéracois,CC,44
200040418,CC du Pays de Serres en Quercy,CC,22
200040426,CC du Val de l'Oise,CC,32
200040442,CA Luberon Monts de Vaucluse,CA,16
200040459,CA Montélimar Agglomération,CA,27
200040475,CC LBN Communauté,CC,29
200040491,CC Porte de DrômArdèche,CC,34
200040509,CC du Crestois et de Pays de Saillans Cœur de Drôme,CC,15
200040558,CC Écueillé-Valençay,CC,18
200040566,CA de l'Ouest Rhodanien,CA,31
200040574,CC Beaujolais Pierres Dorées,CC,32
200040590,CA Villefranche Beaujolais Saône,CA,18
200040624,CC Pays d'Apt-Luberon,CC,25
200040657,CC de la Matheysine,CC,43
200040681,CC Enclave des Papes-Pays de Grignan,CC,19
200040715,Grenoble-Alpes-Métropole,ME,49
200040764,CC du Sud Corse,CC,7
200040772,CC du Perche et Haut Vendômois,CC,23
200040798,CC Val Vanoise,CC,9
200040814,CC Briance Sud Haute Vienne,CC,11
200040830,CC du Pays de Fénelon,CC,17
200040889,CC de Portes Sud Périgord,CC,25
200040905,CC Carmausin-Ségala,CC,31
200040947,CC de Flandre Intérieure,CC,50
200040954,CC des Hauts de Flandre,CC,40
200041010,CC Cœur de Savoie,CC,41
200041051,CC Vallée de la Dordogne et Forêt Bessède,CC,20
200041150,CC Terrassonnais Haut Périgord Noir,CC,37
200041168,CC de la Vallée de l'Homme,CC,26
200041283,CC de la Plaine du Rhin,CC,19
200041317,CA du Niortais,CA,40
200041325,CC du Pays Rhénan,CC,17
200041333,CC de Parthenay-Gâtine,CC,38
200041366,CC Rhône Crussol,CC,13
200041416,CC Airvaudais-Val du Thouet,CC,9
200041440,CC de Domme-Villefranche du Périgord,CC,23
200041465,CC Val Eyrieux,CC,29
200041499,CC Aunis Atlantique,CC,20
200041507,CA La Riviera du Levant,CA,4
200041515,CC du Bassin de Pont-à-Mousson,CC,31
200041523,CC de la Haute Saintonge,CC,129
200041556,CC Portes de la Creuse en Marche,CC,16
200041572,CC Dronne et Belle,CC,16
200041614,CC Aunis Sud,CC,24
200041622,CC Ardennes Thiérache,CC,37
200041630,CA Ardenne Métropole,CA,58
200041689,CC Vals de Saintonge Communauté,CC,110
200041721,CC de la Haute Comté,CC,37
200041762,CA Rochefort Océan,CA,25
200041788,CA du Pays Nord Martinique,CA,18
200041853,CC du Pays de Montbozon et du Chanois,CC,27
200041861,CC du Triangle Vert,CC,42
200041879,CC Terres de Saône,CC,39
200041887,CC du Val Marnaysien,CC,45
200041960,CC Pévèle-Carembault,CC,38
200041994,CC Haut Val de Sèvre,CC,19
200042000,CC Bruyères-Vallons des Vosges,CC,34
200042174,CA Lorient Agglomération,CA,25
200042182,CC du Mont des Avaloirs,CC,26
200042190,CA de la Porte du Hainaut,CA,46
200042372,CC des Coteaux Arrats Gimone,CC,30
200042414,CC Bresse Revermont 71,CC,17
200042463,CC de la Montagne Noire,CC,22
200042497,CC Dombes Saône Vallée,CC,19
200042604,"CC de Granville, Terre et Mer",CC,32
200042620,CC de la Région de Suippes,CC,16
200042646,CC Grand Orb communauté de communes en Languedoc,CC,24
200042653,CC Sud-Hérault,CC,17
200042703,CC de l'Argonne Champenoise,CC,60
200042729,CC de la Baie du Cotentin,CC,23
200042901,CC Drôme Sud Provence,CC,14
200042935,CA Haut - Bugey Agglomération,CA,42
200042943,CC du Cap Corse,CC,18
200042992,CC Perthois-Bocage et Der,CC,25
200043016,CC Val de Charente,CC,32
200043065,CC du Val d'Amboise,CC,14
200043081,"CC Chinon, Vienne et Loire",CC,19
200043123,CC Auray Quiberon Terre Atlantique,CC,24
200043156,CC du Pays Rethélois,CC,65
200043172,CA du Bassin de Brive,CA,48
200043263,CC Cœur de l'Avesnois,CC,43
200043321,CC du Pays de Mormal,CC,53
200043354,CC de Villedieu Intercom,CC,27
200043396,CA Maubeuge Val de Sambre,CA,43
200043404,CC du Sud Avesnois,CC,12
200043438,CC de la Moivre à la Coole,CC,28
200043495,CA du Pays de Laon,CA,38
200043602,"CC des Albères, de la Côte Vermeille et de l'Illibéris",CC,15
200043628,CC des Vallées du Clain,CC,16
200043693,CC Terre Lorraine du Longuyonnais,CC,27
200043776,CC Pyrénées Audoises,CC,61
200043974,CC du Sud Gironde,CC,37
200043982,CC du Bazadais,CC,31
200043990,CC Vallons de Haute-Bretagne Communauté,CC,18
200044014,CC Creuse Grand Sud,CC,26
200044030,CC des 7 Vallées,CC,69
200044048,CC Osartis Marquion,CC,49
200044253,CC du Bassin de Joinville en Champagne,CC,59
200044394,CC du Réolais en Sud Gironde,CC,41
200044469,CC du Pays de Mirepoix,CC,33
200044618,CA Douaisis Agglo,CA,35
200044691,CA du Nord Grande Terre,CA,5
200046977,Métropole de Lyon,METLYON,59
200048551,CC du Pays de Craon,CC,37
200049187,CA du Grand Verdun,CA,25
200049211,CC Conflent-Canigó,CC,45
200049484,CC Berry Grand Sud,CC,32
200050532,CC de Petite-Terre,CC,2
200054781,Métropole du Grand Paris,ME,131
200054807,Métropole d'Aix-Marseille-Provence,ME,92
200055481,CC Beauce Val de Loire,CC,30
200055655,CA Roissy Pays de France,CA,42
200055887,CC Mayenne Communauté,CC,33
200056232,CA Communauté Paris-Saclay,CA,27
200056380,CA Plaine Vallée,CA,18
200057859,CA Cœur d'Essonne Agglomération,CA,21
200057958,CA Paris - Vallée de la Marne,CA,12
200058360,CC entre Beauce et Perche,CC,33
200058477,CA Val d'Yerres Val de Seine,CA,9
200058485,CA Val Parisis,CA,15
200058519,CA Saint Germain Boucles de Seine,CA,19
200058782,CA de Saint-Quentin-en-Yvelines,CA,12
200059228,CA Grand Paris Sud Seine Essonne Sénart,CA,23
200059392,CC Bièvre Isère,CC,50
200059400,CC Porte Océane du Limousin,CC,13
200059871,CC du Centre-Ouest,CC,5
200059889,CU Grand Paris Seine et Oise,CU,73
200060010,CA Mauges Communauté,CA,6
200060457,CA de Dembeni / Mamoudzou,CA,2
200060465,CA du Grand Nord de Mayotte,CA,4
200060473,CC du Sud,CC,4
200065563,CC Normandie-Cabourg-Pays d'Auge,CC,39
200065589,CC Val ès Dunes,CC,18
200065597,CU Caen la Mer,CU,48
200065647,CA Pays de Montbéliard Agglomération,CA,72
200065787,CC de Pont-Audemer / Val de Risle,CC,32
200065886,CA Loire Forez Agglomération,CA,87
200065894,CC de Forez-Est,CC,42
200065928,CA Lannion-Trégor Communauté,CA,57
200066009,CA Mulhouse Alsace Agglomération,CA,39
200066017,CC Lieuvin Pays d'Auge,CC,51
200066025,CC Pays Rhin - Brisach,CC,29
200066033,CC Sud Alsace Largue,CC,44
200066041,CC Sundgau,CC,64
200066058,CA Saint-Louis Agglomération,CA,40
200066108,CC des Portes de Meuse,CC,51
200066116,CC Argonne-Meuse,CC,38
200066124,CA Gaillac-Graulhet,CA,56
200066132,CC du Pays de Stenay et du Val Dunois,CC,41
200066140,CC de l'Aire à l'Argonne,CC,47
200066157,CC de Commercy - Void - Vaucouleurs,CC,54
200066165,CC Val de Meuse - Voie Sacrée,CC,25
200066173,CC de Damvillers Spincourt,CC,41
200066223,CC Arize Lèze,CC,27
200066231,CC des Portes d'Ariège Pyrénées,CC,34
200066280,CC du Pithiverais,CC,31
200066322,CC Terres des Confluences,CC,22
200066330,CC Terres du Haut Berry,CC,30
200066348,CC du Minervois au Caroux,CC,36
200066355,CA Sète Agglopôle Méditerranée,CA,14
200066363,CC de la Haute Ariège,CC,52
200066371,CC Causses et Vallée de la Dordogne,CC,77
200066389,CA Saint-Lô Agglo,CA,61
200066405,CC Roumois Seine,CC,40
200066413,CC Intercom Bernay Terres de Normandie,CC,75
200066462,CC Interco Normandie Sud Eure,CC,41
200066512,CC Élan Limousin Avenir Nature,CC,24
200066520,CC Ouest Limousin,CC,16
200066553,CC des Monts de Lacaune et de la Montagne du Haut Languedoc,CC,20
200066561,CC Sidobre Vals et Plateaux,CC,16
200066587,CC des Monts du Lyonnais,CC,32
200066603,CC du Pays de Lubersac-Pompadour,CC,12
200066637,CC Hautes Terres Communauté,CC,35
200066645,CC Vézère-Monédières-Millesources,CC,20
200066652,CC Grand Sud Tarn et Garonne,CC,25
200066660,CC Saint-Flour Communauté,CC,53
200066678,CC de la Châtaigneraie Cantalienne,CC,50
200066710,CC Cingal-Suisse Normande,CC,42
200066728,CC Vallées de l'Orne et de l'Odon,CC,23
200066744,CC Haute-Corrèze Communauté,CC,70
200066751,CC Xaintrie Val'Dordogne,CC,30
200066769,CC Midi Corrézien,CC,34
200066777,CC Ploërmel Communauté,CC,30
200066785,CC de l'Oust à Brocéliande,CC,26
200066793,CA du Grand Annecy,CA,34
200066801,CC Isigny-Omaha Intercom,CC,59
200066819,CC du Volvestre,CC,32
200066827,CC du Pays de Honfleur-Beuzeville,CC,23
200066835,CC de Sézanne-Sud Ouest Marnais,CC,62
200066850,CC des Paysages de la Champagne,CC,51
200066868,CC Presqu'île de Crozon-Aulne maritime,CC,10
200066876,CA de Châlons-en-Champagne,CA,46
200066884,CC Quercy Vert-Aveyron,CC,13
200066892,CC de Vendeuvre-Soulaines,CC,38
200066918,CA Alès Agglomération,CA,72
200066926,CA Grand Auch Cœur de Gascogne,CA,34
200066975,CC Senlis Sud Oise,CC,17
200067023,CC Coutances Mer et Bocage,CC,48
200067031,CC Côte Ouest Centre Manche,CC,30
200067049,CC Spelunca-Liamone,CC,33
200067064,CC Decazeville Communauté,CC,12
200067072,CC Haut-Léon Communauté,CC,14
200067080,CC Chablis Villages et Terroirs,CC,36
200067106,CA du Pays Basque,CA,158
200067114,CA de l'Auxerrois,CA,29
200067122,CC du Pays de Lafrançaise,CC,11
200067130,CC de Puisaye-Forterre,CC,57
200067155,"CC Saint Affricain, Roquefort, Sept Vallons",CC,14
200067163,"CC Monts, Rance et Rougier",CC,23
200067171,"CC Aubrac, Carladez et Viadène",CC,21
200067189,CC Creuse Sud Ouest,CC,43
200067197,CC Monts d'Arrée Communauté,CC,12
200067205,CA du Cotentin,CA,129
200067213,CU du Grand Reims,CU,143
200067239,CC des Luys en Béarn,CC,66
200067247,CC Pleyben-Châteaulin-Porzay,CC,17
200067254,CA Pau Béarn Pyrénées,CA,31
200067262,CC du Haut Béarn,CC,48
200067288,CC du Béarn des Gaves,CC,53
200067296,CC du Nord Est Béarn,CC,73
200067304,CC Serein et Armance,CC,29
200067320,CC Serre-Ponçon Val d'Avance,CC,16
200067346,CA Pornic Agglo Pays de Retz,CA,15
200067361,CC Grand-Figeac,CC,92
200067379,CC Côtes de Champagne et Val de Saulx,CC,40
200067429,CC Haut Nivernais-Val d'Yonne,CC,30
200067437,CA Provence-Alpes-Agglomération,CA,46
200067445,CC Buëch-Dévoluy,CC,20
200067452,CC du Guillestrois et du Queyras,CC,15
200067460,CC Loudéac Communauté - Bretagne Centre,CC,41
200067478,CC Comtal Lot et Truyère,CC,21
200067486,CC Bouzonvillois-Trois Frontières,CC,40
200067502,CA Saint-Avold Synergie,CA,41
200067544,CC Creuse Confluence,CC,42
200067551,CA Thonon Agglomération,CA,25
200067593,CC Marche et Combraille en Aquitaine,CC,50
200067627,CC Billom Communauté,CC,25
200067635,CA Clisson Sèvre et Maine Agglo,CA,16
200067643,CC Meurthe Mortagne Moselle,CC,37
200067650,CC Houve-Pays Boulageois,CC,37
200067668,"CC de la Cléry, du Betz et de l'Ouanne",CC,23
200067676,CC Canaux et Forêts en Gâtinais,CC,38
200067684,"CA Épernay, Coteaux et Plaine de Champagne",CA,47
200067692,CC Tannay-Brinon-Corbigny,CC,58
200067700,CC Sud Nivernais,CC,20
200067742,CC Serre-Ponçon,CC,17
200067759,CC Vallées et Plateau d'Ardenne,CC,31
200067767,CC du Royans-Vercors,CC,18
200067783,CC de Hanau-La Petite Pierre,CC,38
200067791,CA Pays Foix-Varilhes,CA,42
200067817,CC Saône-Beaujolais,CC,35
200067825,CA Gap-Tallard-Durance,CA,17
200067841,CC de l'Alsace Bossue,CC,45
200067866,CC Sèvre et Loire,CC,11
200067874,CA de Haguenau,CA,36
200067882,CC Bazois Loire Morvan,CC,46
200067890,CC Morvan Sommets et Grands Lacs,CC,34
200067908,CC Amognes Cœur du Nivernais,CC,28
200067916,CC Cœur de Loire,CC,30
200067924,CC du Canton d'Erstein,CC,28
200067932,CA Golfe du Morbihan - Vannes Agglomération,CA,34
200067940,CC Couserans-Pyrénées,CC,94
200067957,CC Haut Chemin-Pays de Pange,CC,28
200067965,CA de la Région de Compiègne et de la Basse Automne,CA,22
200067973,CC Thelloise,CC,41
200067981,CA Guingamp-Paimpol Agglomération de l'Armor à l'Argoat,CA,57
200067999,CA du Beauvaisis,CA,53
200068005,CC de l'Oise Picarde,CC,52
200068047,CA Creil Sud Oise,CA,11
200068070,CC Loue-Lison,CC,72
200068088,CC Les Bertranges,CC,32
200068096,CC Champsaur-Valgaudemar,CC,25
200068104,CA de la Provence Verte,CA,28
200068112,CC du Pays de Saverne,CC,35
200068120,CA Quimper Bretagne Occidentale,CA,14
200068146,CC Sarrebourg Moselle Sud,CC,76
200068229,CC des Baronnies en Drôme Provençale,CC,67
200068278,CC Berry Loire Puisaye,CC,20
200068294,CC des Deux Vallées Vertes,CC,54
200068369,CC de Mirecourt Dompaire,CC,76
200068377,CC de la Porte des Vosges Méridionales,CC,10
200068435,CC Cœur du Perche,CC,12
200068443,CC Andaine - Passais,CC,12
200068450,CC Argentan Intercom,CC,49
200068468,CC des Pays de L'Aigle,CC,32
200068484,CC des Causses à l'Aubrac,CC,17
200068500,CA de Cambrai,CA,55
200068534,CC Terroir de Caux,CC,79
200068542,CC Les Balcons du Dauphiné,CC,47
200068559,CC de l'Ouest Vosgien,CC,70
200068567,CC Les Vals du Dauphiné,CC,36
200068625,CC Alpes-Provence-Verdon - Sources de Lumière,CC,41
200068641,CA Le Muretain Agglo,CA,26
200068658,CA de Chaumont,CA,63
200068666,CA de Saint-Dizier Der et Blaise,CA,60
200068674,CA Grand Lac,CA,28
200068682,CC Terre d'Eau,CC,45
200068757,CA d'Épinal,CA,78
200068765,CC du Sisteronais-Buëch,CC,60
200068773,CC des Vosges côté Sud Ouest,CC,60
200068781,CA Valence Romans Agglo,CA,54
200068799,CC Intercom de la Vire au Noireau,CC,17
200068807,CC du Bassin Auterivain Haut-Garonnais,CC,19
200068815,CC Cœur de Garonne,CC,48
200068831,CC Pays Ségali Communauté,CC,23
200068856,CC des Hauts du Perche,CC,10
200068864,CC de la Mossig et du Vignoble,CC,24
200068872,CC Éguzon - Argenton - Vallée de la Creuse,CC,21
200068880,CC Champagne Boischauts,CC,30
200068914,CC La Rochefoucauld porte du Périgord,CC,27
200068922,CC du Confluent et des Coteaux de Prayssas,CC,29
200068930,CC Fumel Vallée du Lot,CC,27
200068948,CC Albret Communauté,CC,33
200068955,CC Anjou Loir et Sarthe,CC,17
200068963,CC Maine Cœur de Sarthe,CC,13
200068989,CA Dinan Agglomération,CA,65
200068997,CA Arlysère,CA,39
200069003,CC du Barséquanais en Champagne,CC,53
200069029,CA des Deux Baies en Montreuillois,CA,46
200069037,CA du Pays de Saint-Omer,CA,53
200069052,CA Grand Belfort,CA,52
200069060,CC des Vosges du Sud,CC,22
200069086,CC Leff Armor Communauté,CC,27
200069094,CC Isle et Crempse en Périgord,CC,25
200069102,CC Randon - Margeride,CC,15
200069110,CA du Grand Chambéry,CA,38
200069128,CC Mont Lozère,CC,21
200069136,CC des Cévennes au Mont Lozère,CC,19
200069144,CC des Hautes Terres de l'Aubrac,CC,17
200069151,CC Gorges Causses Cévennes,CC,17
200069169,CC Dômes Sancy Artense,CC,27
200069177,CC Mond'Arverne Communauté,CC,27
200069185,CC des Terres d'Apcher-Margeride-Aubrac,CC,20
200069193,CC de la Dombes,CC,36
200069227,CC Pays Fort Sancerrois Val de Loire,CC,36
200069235,CC du Haut Pays du Montreuillois,CC,49
200069250,CA Troyes Champagne Métropole,CA,81
200069268,CC Aubrac Lot Causses Tarn,CC,15
200069300,CA Tarbes-Lourdes-Pyrénées,CA,86
200069383,CC Ouest Aveyron Communauté,CC,29
200069391,CA Lamballe Terre et Mer,CA,38
200069409,CA Saint-Brieuc Armor Agglomération,CA,32
200069417,CC Pays d'Orthe et Arrigans,CC,24
200069425,CA Mont-Saint-Michel-Normandie,CA,95
200069433,CC de Vezouze en Piémont,CC,51
200069441,CC du Pays de Bitche,CC,46
200069458,CC des Vallées d'Auge et du Merlerault,CC,46
200069482,CC des Campagnes de l'Artois,CC,96
200069516,CC Seulles Terre et Mer,CC,28
200069524,CC Pré-Bocage Intercom,CC,27
200069532,CA Lisieux Normandie,CA,53
200069540,CC Norge et Tille,CC,14
200069565,CC des Lacs et Montagnes du Haut-Doubs,CC,32
200069581,CC Convergence Garonne,CC,27
200069599,CC rurales de l'Entre-Deux-Mers,CC,50
200069615,CC Bresse Haute Seille,CC,54
200069623,CC Champagnole Nozeroy Jura,CC,66
200069631,CC Terres de Chalosse,CC,34
200069649,CC Chalosse Tursan,CC,50
200069656,CC Cœur Haute Lande,CC,26
200069664,CC Meuse Rognon,CC,59
200069672,CC du Ternois,CC,103
200069698,CC Mâconnais - Tournugeois,CC,24
200069722,CC interrégionale Aumale - Blangy-sur-Bresle,CC,44
200069730,CC des 4 rivières,CC,53
200069748,CC Val de Gâtine,CC,31
200069755,CC Mellois en Poitou,CC,62
200069763,CC du Haut-Poitou,CC,27
200069821,CA Fécamp Caux Littoral Agglomération,CA,33
200069839,CC de la Côte d'Albâtre,CC,63
200069847,CC Plateau de Caux,CC,40
200069854,CU du Grand Poitiers,CU,40
200069912,CC des Forêts du Perche,CC,15
200069953,CC des Portes Euréliennes d'Île-de-France,CC,39
200069961,CC du Grand Châteaudun,CC,23
200069995,CC Médoc Cœur de Presqu'île,CC,18
200070035,CC du Civraisien en Poitou,CC,36
200070043,CC Vienne et Gartempe,CC,55
200070068,CC Communauté Bray-Eawy,CC,46
200070092,CA du Libournais,CA,45
200070100,CC du Val de Sully,CC,19
200070118,CC Val de Saône Centre,CC,15
200070126,CC Seine et Aube,CC,25
200070142,CC Lyons Andelle,CC,30
200070159,CC Cœur de Beauce,CC,48
200070167,CC Terres de Perche,CC,22
200070183,CC des Terres du Val de Loire,CC,25
200070233,CA Terres de Montaigu,CA,10
200070282,CC Lavalette Tude Dronne,CC,50
200070290,CC Coeur du Pays Haut,CC,25
200070308,CA Mâconnais Beaujolais Agglomération,CA,39
200070316,"CC Entre Arroux, Loire et Somme",CC,30
200070324,CC du Territoire de Lunéville à Baccarat,CC,43
200070332,CC des Savoir-Faire,CC,63
200070340,CC Haute Maurienne Vanoise,CC,10
200070365,CC Corbières Salanque Méditerranée,CC,21
200070373,CC Loir-Lucé-Bercé,CC,24
200070407,CA Agglo Pays d'Issoire,CA,88
200070431,CC Saint-Marcellin Vercors Isère Communauté,CC,47
200070449,CC Inter-Caux-Vexin,CC,64
200070464,CC Cœur de Maurienne Arvan,CC,14
200070506,CC Pays de Nexon Monts de Chalus,CC,15
200070514,CA du Grand Cognac,CA,55
200070530,CC du Grand Autunois Morvan,CC,55
200070548,CC Brionnais Sud Bourgogne,CC,29
200070555,CC de la Veyle,CC,18
200070563,CC Terres Touloises,CC,41
200070571,CC Cœur de Berry,CC,11
200070589,CC de Seille et Grand Couronné,CC,42
200070647,CA Bergeracoise,CA,38
200070662,CC Bretagne porte de Loire Communauté,CC,20
200070670,CC du Pays de Dol et de la Baie du Mont Saint-Michel,CC,19
200070688,CC Couesnon Marches de Bretagne,CC,15
200070712,CC Thiers Dore et Montagne,CC,30
200070720,CC Médoc Atlantique,CC,14
200070738,CC Mad et Moselle,CC,47
200070746,CA Sarreguemines Confluences,CA,38
200070753,CA Riom Limagne et Volcans,CA,31
200070761,CC Ambert Livradois Forez,CC,58
200070779,CC Brie des Rivières et Châteaux,CC,31
200070787,CC du Plateau de Lannemezan,CC,57
200070795,CC du Pays de Trie et du Magnoac,CC,50
200070803,CC des Coteaux du Val d'Arros,CC,53
200070811,CC Pyrénées Vallées des Gaves,CC,46
200070829,CC Neste Barousse,CC,43
200070845,CC Orne Lorraine Confluences,CC,41
200070852,CC Usses et Rhône,CC,26
200070894,CC de Gevrey-Chambertin et de Nuits-Saint-Georges,CC,55
